Agency,Complaint Type,Descriptor,Additional_Details,Public View,Location_Type,agency_label,agency_id,complaint_description,Predicted_Agency
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Bike Path/Greenways,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Grass - Brown/Burned,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Grass - Needs to be Cut,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Grass - Sparse/Needs Reseeding,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Other,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Weeds - Overgrown Lawn,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Weeds - Paths,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Weeds - Playing Field,Yes,Street/Curbside,8,8,maintenance or facility grass/weeds,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Park Not Open,Yes,Park,8,8,maintenance or facility hours of operation,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Pool Not Open,Yes,Park,8,8,maintenance or facility hours of operation,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Request New Hours of Operation,Yes,Park,8,8,maintenance or facility hours of operation,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Park Not Open,Yes,Street/Curbside,8,8,maintenance or facility hours of operation,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Pool Not Open,Yes,Street/Curbside,8,8,maintenance or facility hours of operation,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Hours of Operation,Request New Hours of Operation,Yes,Street/Curbside,8,8,maintenance or facility hours of operation,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Air Conditioning/Heating,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Computer Center,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Elevator,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Fitness Equipment,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Gymnasium,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Indoor Pool,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Lockers,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Other,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Restroom/Shower,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Window,Yes,Park,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Air Conditioning/Heating,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Computer Center,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Elevator,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Fitness Equipment,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Gymnasium,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Indoor Pool,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Lockers,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Other,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Restroom/Shower,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Recreation Center,Window,Yes,Street/Curbside,8,8,maintenance or facility recreation center,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Bike Path/Greenways,Yes,Park,8,8,maintenance or facility rodent sighting,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,,Yes,Park,8,8,maintenance or facility rodent sighting,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,Bike Path/Greenways,Yes,Street/Curbside,8,8,maintenance or facility rodent sighting,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Rodent Sighting,,Yes,Street/Curbside,8,8,maintenance or facility rodent sighting,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Ball Field/Court,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Bike Path/Greenways,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Field,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Other,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Path,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Playground,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Sidewalk,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Steps,Yes,Park,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Ball Field/Court,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Bike Path/Greenways,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Field,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Other,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Path,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Playground,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Sidewalk,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,Steps,Yes,Street/Curbside,8,8,maintenance or facility snow or ice,Department of Health and Mental Hygiene
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Door,Yes,Park,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Lighting,Yes,Park,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Other,Yes,Park,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Wall,Yes,Park,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Window,Yes,Park,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Door,Yes,Street/Curbside,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Lighting,Yes,Street/Curbside,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Other,Yes,Street/Curbside,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Wall,Yes,Street/Curbside,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Indoors,Window,Yes,Street/Curbside,8,8,maintenance or facility structure - indoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Artificial turf,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Ball Field/Court Lighting,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Ball Fields & Equipment,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Bench,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Boardwalk,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Decorative Fountain,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Drinking Fountain,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Fence,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Flag,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Gate,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Hard Court Surface/Equipment,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Lawn,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Monument/Statue,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Other,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Path,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Picnic Table,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Playground Equipment,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Pool,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Restroom/Comfort Station,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Sign,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Sprinkler/Spray shower,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Stairway,Yes,Park,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Artificial turf,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Ball Field/Court Lighting,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Ball Fields & Equipment,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Bench,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Boardwalk,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Decorative Fountain,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Drinking Fountain,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Fence,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Flag,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Gate,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Hard Court Surface/Equipment,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Lawn,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Monument/Statue,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Other,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Path,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Picnic Table,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Playground Equipment,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Pool,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Restroom/Comfort Station,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Sign,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Sprinkler/Spray shower,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Stairway,Yes,Street/Curbside,8,8,maintenance or facility structure - outdoors,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Bike Path/Greenways,Yes,Park,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Building/Facility Unlocked,Yes,Park,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Other,Yes,Park,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park/Playground Unlocked,Yes,Park,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Bike Path/Greenways,Yes,Street/Curbside,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Building/Facility Unlocked,Yes,Street/Curbside,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Other,Yes,Street/Curbside,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Park/Playground Unlocked,Yes,Street/Curbside,8,8,maintenance or facility unsecured facility,Department of Parks and Recreation
Department of Parks and Recreation,New Tree Request,For One Address,Street Tree,Yes,Park,8,8,new tree request for one address,Department of Parks and Recreation
Department of Parks and Recreation,New Tree Request,For One Address,Street Tree,Yes,Street,8,8,new tree request for one address,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Yes,Park,8,8,overgrown tree/branches blocking street,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,,Yes,Street,8,8,overgrown tree/branches blocking street,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Clear Street Light,,Yes,Park,8,8,overgrown tree/branches clear street light,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Clear Street Light,,Yes,Street,8,8,overgrown tree/branches clear street light,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Yes,Park,8,8,overgrown tree/branches dead branches in tree,Department of Health and Mental Hygiene
Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Yes,Street,8,8,overgrown tree/branches dead branches in tree,Department of Health and Mental Hygiene
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Yes,Park,8,8,overgrown tree/branches hitting building,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Yes,Street,8,8,overgrown tree/branches hitting building,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Other Types of Wires,Yes,Park,8,8,overgrown tree/branches hitting phone/cable lines,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Telephone Lines,Yes,Park,8,8,overgrown tree/branches hitting phone/cable lines,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Other Types of Wires,Yes,Street,8,8,overgrown tree/branches hitting phone/cable lines,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Telephone Lines,Yes,Street,8,8,overgrown tree/branches hitting phone/cable lines,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Yes,Park,8,8,overgrown tree/branches hitting power lines,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Yes,Street,8,8,overgrown tree/branches hitting power lines,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Sign,Yes,Park,8,8,overgrown tree/branches traffic sign or signal blocked,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Traffic Signal,Yes,Park,8,8,overgrown tree/branches traffic sign or signal blocked,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Sign,Yes,Street,8,8,overgrown tree/branches traffic sign or signal blocked,Department of Parks and Recreation
Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Traffic Signal,Yes,Street,8,8,overgrown tree/branches traffic sign or signal blocked,Department of Parks and Recreation
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Roots Affecting Foundation,Yes,Park,8,8,root/sewer/sidewalk condition affecting sewer or foundation,Department of Transportation
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Roots Affecting Sewer,Yes,Park,8,8,root/sewer/sidewalk condition affecting sewer or foundation,Department of Transportation
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Roots Affecting Foundation,Yes,Street,8,8,root/sewer/sidewalk condition affecting sewer or foundation,Department of Transportation
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,Roots Affecting Sewer,Yes,Street,8,8,root/sewer/sidewalk condition affecting sewer or foundation,Department of Transportation
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Free Repair,Yes,Park,8,8,root/sewer/sidewalk condition trees and sidewalks program,Department of Transportation
Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Free Repair,Yes,Street,8,8,root/sewer/sidewalk condition trees and sidewalks program,Department of Transportation
Department of Parks and Recreation,Uprooted Stump,Remove Stump,,Yes,Park,8,8,uprooted stump remove stump,Department of Parks and Recreation
Department of Parks and Recreation,Uprooted Stump,Remove Stump,,Yes,Street,8,8,uprooted stump remove stump,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,In a Playground,Yes,Park,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,On a Beach,Yes,Park,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Other,Yes,Park,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Under a Tree,Yes,Park,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,In a Playground,Yes,Street/Curbside,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,On a Beach,Yes,Street/Curbside,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Other,Yes,Street/Curbside,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Under a Tree,Yes,Street/Curbside,8,8,violation of park rules bbq outside authorized area,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Mountain Biking,Yes,Park,8,8,violation of park rules biking/rollerblading off path,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Other,Yes,Park,8,8,violation of park rules biking/rollerblading off path,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Rollerblading,Yes,Park,8,8,violation of park rules biking/rollerblading off path,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Mountain Biking,Yes,Street/Curbside,8,8,violation of park rules biking/rollerblading off path,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Other,Yes,Street/Curbside,8,8,violation of park rules biking/rollerblading off path,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Rollerblading,Yes,Street/Curbside,8,8,violation of park rules biking/rollerblading off path,New York City Police Department
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Bench,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Court/Field/Rink,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Decorative Fountain,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Drinking Fountain,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Entrance,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Lawn,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Other,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Path,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Playground Equipment,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Pool,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Restroom/Comfort Station,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Sprinkler/Spray shower,Yes,Park,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Bench,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Court/Field/Rink,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Decorative Fountain,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Drinking Fountain,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Entrance,Yes,Street/Curbside,8,8,violation of park rules obstructing public use,Department of Parks and Recreation
